"fid","CAT_LU","PA","PA_norm","FR.analysis.5_NP","FR.analysis.5_FR","Fragmentation","proximity.analysis.5_PI","Proximity","LC_EVAPO_Evapotranspirating","LC_analysis_ET_score","ET_score_2","SuitKey2","compat_key","unique_compat_Compatibility","Suitability.matrix_2_PLU"
2,"Farmlands",0.501944288438592,0.0169358921623552,32,1.71,3,0.049077,"Low",84.84,54.2976,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
6,"Farmlands",0.0132937670182902,0.000448539429253375,13,1.295,2,0.039458,"Low",93.6,60.8838,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
8,"Farmlands",1.94318010162081,0.065564026548557,17,1.32,2,0.037638,"Low",99.94,58.3828,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
12,"Farmlands",3.95392848655953,0.133407846265849,26,1.458,3,0.042633,"Low",93.56,54.5156,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
21,"Farmlands",0.672297731671179,0.0226837163940995,33,1.727,3,0.043394,"Low",80.75,46.835,"B","Farmlands_B_3_Low","Farmlands_Community Supported Agriculture_B","true","Community Supported Agriculture"
41,"Farmlands",3.13948945165266,0.105928199648288,9,1.099,2,0.039418,"Low",82.76,52.847,"B","Farmlands_B_2_Low","Farmlands_Community Supported Agriculture_B","true","Community Supported Agriculture"
42,"Farmlands",0.357310014561885,0.0120558476598543,10,1.215,2,0.041384,"Low",99.73,66.5968,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
49,"Farmlands",0.234950479995882,0.00792736581400636,10,1.219,2,0.047868,"Low",99.9,63.936,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
59,"Farmlands",0.0975782130043877,0.0032923456465225,7,1.156,2,0.034174,"Low",86.6,55.6706,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
70,"Farmlands",2.3347418179505,0.0787755465427279,7,1.08,2,0.033195,"Low",99.94,57.5452,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
77,"Farmlands",1.09964585754396,0.0371026906553267,7,1.122,2,0.089428,"High",89.88,57.8,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
82,"Farmlands",3.00868879923169,0.101514909577674,21,1.375,3,0.050672,"Low",98.37,57.7068,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
94,"Farmlands",1.00555649114794,0.0339280607220641,25,1.534,3,0.04773,"Low",99.89,58.6574,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
98,"Farmlands",0.367723261210512,0.012407196656871,26,1.579,3,0.054059,"Low",90.84,54.15,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
109,"Farmlands",2.93792850994167,0.0991274162713541,17,1.287,2,0.063273,"Low",99.93,58.4166,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
121,"Farmlands",0.0733919622884881,0.00247628748355314,15,1.339,2,0.070497,"High",86.28,55.2192,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
136,"Farmlands",0.0598574236338958,0.0020196242792871,17,1.384,3,0.041435,"Low",92.27,53.5166,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
151,"Farmlands",0.524773261632261,0.0177061549924951,25,1.55,3,0.049357,"Low",99.22,57.5476,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
154,"Farmlands",0.93982272279702,0.0317101651550491,14,1.286,2,0.073679,"High",99.98,58.6968,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
156,"Farmlands",1.4193652436442,0.047890208652696,26,1.543,3,0.052453,"Low",99.08,60.4646,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
158,"Farmlands",0.624230863442337,0.021061912310148,22,1.479,3,0.083202,"High",100,64,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
166,"Farmlands",1.08779300205711,0.0367027684190048,12,1.236,2,0.087675,"High",95.57,55.4306,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
168,"Farmlands",0.622117151030824,0.0209905944243026,9,1.184,2,0.10924,"High",99.03,57.6342,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
176,"Farmlands",0.109400490616821,0.00369123616758097,8,1.178,2,0.15818,"High",98.07,64.1224,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
177,"Farmlands",3.84370399838125,0.129688807941406,14,1.188,2,0.08143,"High",91.89,53.574,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
178,"Farmlands",0.492702780296866,0.0166240783039035,9,1.188,2,0.137123,"High",94.73,55.2692,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
186,"Farmlands",3.65960334392189,0.123477144809146,18,1.286,2,0.044111,"Low",60.53,35.6624,"A","Farmlands_A_2_Low","Farmlands_Informal Recreational areas_A","false","Informal Recreational areas"
198,"Farmlands",0.187967003429361,0.00634211599471196,10,1.221,2,0.074133,"High",88.86,56.8704,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
199,"Farmlands",0.433939533625729,0.0146413721915817,9,1.19,2,0.055849,"Low",90.44,55.2014,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
200,"Farmlands",0.0145227602110244,0.000490006374210876,9,1.205,2,0.102688,"High",100,63.8938,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
243,"Collective spaces",0.356008740863853,0.0120119419286184,15,1.329,2,0.410635,"High",83.45,53.408,"C","Collective spaces_C_2_High","Collective spaces_Wild spaces_C","false","Wild spaces"
248,"Farmlands",6.16155603434967,0.207894483418992,19,1.224,2,0.058732,"Low",99.91,58.687,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
274,"Collective spaces",0.194415689468675,0.00655969841145872,19,1.425,3,0.297296,"High",86.97,55.6608,"C","Collective spaces_C_3_High","Collective spaces_Urban Gardens_C","true","Urban Gardens"
277,"Collective spaces",0.675245218508102,0.0227831663138812,6,1.113,2,0.215364,"High",62.3,39.872,"B","Collective spaces_B_2_High","Collective spaces_Community Supported Agriculture_B","true","Community Supported Agriculture"
292,"Farmlands",2.67117592443615,0.0901270289251723,22,1.41,3,0.115059,"High",99.72,58.1892,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
293,"Farmlands",0.734664654298045,0.0247880126286322,18,1.384,3,0.069918,"High",100,64,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
308,"Parks and public gardens",4.09949447146778,0.138319327240325,18,1.271,2,0.117306,"High",76.51,49.0414,"B","Parks and public gardens_B_2_High","Parks and public gardens_Community Supported Agriculture_B","false","Community Supported Agriculture"
317,"Farmlands",0.479750898514967,0.0161870742813254,30,1.666,3,0.05106,"Low",95.88,55.6104,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
337,"Woods and shrubs",0.402814759151969,0.0135912042024111,28,1.622,3,0.052762,"Low",99.25,60.1104,"C","Woods and shrubs_C_3_Low","Woods and shrubs_Wild spaces_C","true","Wild spaces"
348,"Farmlands",0.0185350362928119,0.000625382902267658,14,1.317,2,0.040484,"Low",92.75,59.36,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
359,"Farmlands",1.3079160071088,0.044129846606518,24,1.501,3,0.054619,"Low",96.29,61.6256,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
366,"Woods and shrubs",0.723105659856903,0.024398005434867,28,1.612,3,0.05525,"Low",95.58,61.351,"C","Woods and shrubs_C_3_Low","Woods and shrubs_Wild spaces_C","true","Wild spaces"
392,"Farmlands",0.0366200578337593,0.00123558204513295,14,1.317,2,0.029889,"Low",100,64,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
393,"Farmlands",0.0894091623657732,0.00301671712783817,17,1.383,3,0.030746,"Low",98.82,63.2342,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
401,"Farmlands",1.1363301662128,0.0383404405609957,28,1.598,3,0.047199,"Low",99.95,64.5278,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
404,"Farmlands",0.529006297656271,0.0178489800893699,23,1.505,3,0.033538,"Low",99.84,63.8871,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
412,"Farmlands",0.346368968753144,0.0116866904122709,27,1.602,3,0.037544,"Low",88.78,56.1298,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
421,"Farmlands",17.3918889266661,0.586812445416861,15,0.754,1,0.031574,"Low",99.45,59.229,"C","Farmlands_C_1_Low","Farmlands_Natural Park_C","false","Natural Park"
426,"Woods and shrubs",0.452792460495136,0.0152774809067506,14,1.303,2,0.031002,"Low",99.52,59.0152,"C","Woods and shrubs_C_2_Low","Woods and shrubs_Wild spaces_C","true","Wild spaces"
439,"Farmlands",0.925549147337149,0.031228566419238,24,1.514,3,0.045114,"Low",98.96,57.3968,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
445,"Farmlands",0.518692382874458,0.017500982607299,23,1.505,3,0.045951,"Low",96.41,61.9397,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
447,"Farmlands",1.5393669013071,0.0519391343607757,27,1.562,3,0.043875,"Low",100,58.2052,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
451,"Woods and shrubs",0.42061757358575,0.0141918815133828,17,1.372,2,0.084978,"High",97.39,58.327,"C","Woods and shrubs_C_2_High","Woods and shrubs_Wild spaces_C","true","Wild spaces"
