fid,VEGETATION,CODE_MN,CODE_100,CODE_25,F_FORMAT,F_REGROUP,F_ESSENCE,OBJECTID,SHAPE_AREA,SHAPE_LEN,ID,CAT_LU,PA,PA_norm,Proximity,Fragmentation,ET_score,SuitKey,ET_score_2,SuitKey2,PLU final,compat_key,reassign_key,Final PLU,LC_analysis_ET_score,LC_EVAPO_Evapotranspirating,FR analysis 5_NP,FR analysis 5_FR,proximity analysis 5_PI,Suitability matrix_PLU,Suitability matrix_2_PLU,unique_compat_Compatibility,unique_reassign_reassign
"2",Cultures et prairies intensives,"10","5","10",,,,"191906",5020.35229153,583.153049742467,"3",Farmlands,0.501944288438592,0.0169358921623552,Low,"3",A,Farmlands_A_3_Low,C,Farmlands_C_3_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_3_Low_C_Wild spaces_false,Community Supported Agriculture,54.2976,84.84,"32",1.710,0.049077,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"6",Cultures et prairies intensives,"10","5","10",,,,"191162",132.962026235,79.4080049252708,"8",Farmlands,0.0132937670182902,0.000448539429253375,Low,"2",A,Farmlands_A_2_Low,C,Farmlands_C_2_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_Low_C_Wild spaces_false,Community Supported Agriculture,60.8838,93.6,"13",1.295,0.039458,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"8",Cultures et prairies intensives,"10","5","10",,,,"191401",19435.35204165,1140.95085768344,"10",Farmlands,1.94318010162081,0.065564026548557,Low,"2",A,Farmlands_A_2_Low,C,Farmlands_C_2_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_Low_C_Wild spaces_false,Community Supported Agriculture,58.3828,99.94,"17",1.320,0.037638,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"12",Cultures et prairies intensives,"10","5","10",,,,"191408",39546.47737058,970.570289066308,"14",Farmlands,3.95392848655953,0.133407846265849,Low,"3",A,Farmlands_A_3_Low,C,Farmlands_C_3_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_3_Low_C_Wild spaces_false,Community Supported Agriculture,54.5156,93.56,"26",1.458,0.042633,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"21",Cultures et prairies intensives,"10","5","10",,,,"191646",6724.19766604,487.48711485784,"23",Farmlands,0.672297731671179,0.0226837163940995,Low,"3",A,Farmlands_A_3_Low,B,Farmlands_B_3_Low,Community Supported Agriculture,Farmlands_Community Supported Agriculture_B,Farmlands_3_Low_B_Community Supported Agriculture_true,Community Supported Agriculture,46.835,80.75,"33",1.727,0.043394,Informal Recreational areas,Community Supported Agriculture,true,
"41",Cultures et prairies intensives,"10","5","10",,,,"193470",31400.716394955,1063.5531351798,"48",Farmlands,3.13948945165266,0.105928199648288,Low,"2",A,Farmlands_A_2_Low,B,Farmlands_B_2_Low,Community Supported Agriculture,Farmlands_Community Supported Agriculture_B,Farmlands_2_Low_B_Community Supported Agriculture_true,Community Supported Agriculture,52.847,82.76,"9",1.099,0.039418,Informal Recreational areas,Community Supported Agriculture,true,
"42",Cultures et prairies intensives,"10","5","10",,,,"193475",4715.944601375,495.146361786469,"50",Farmlands,0.357310014561885,0.0120558476598543,Low,"2",C,Farmlands_C_2_Low,C,Farmlands_C_2_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_Low_C_Wild spaces_false,Community Supported Agriculture,66.5968,99.73,"10",1.215,0.041384,Friche,Wild spaces,false,Community Supported Agriculture
"49",Cultures et prairies intensives,"10","5","10",,,,"193257",2349.941343265,245.459703403297,"57",Farmlands,0.234950479995882,0.00792736581400636,Low,"2",B,Farmlands_B_2_Low,C,Farmlands_C_2_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_Low_C_Wild spaces_false,Community Supported Agriculture,63.936,99.9,"10",1.219,0.047868,Community Supported Agriculture,Wild spaces,false,Community Supported Agriculture
"59",Cultures et prairies intensives,"10","5","10",,,,"193270",1255.04366078,296.953282894102,"70",Farmlands,0.0975782130043877,0.0032923456465225,Low,"2",A,Farmlands_A_2_Low,C,Farmlands_C_2_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_Low_C_Wild spaces_false,Community Supported Agriculture,55.6706,86.6,"7",1.156,0.034174,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"70",Cultures et prairies intensives,"10","5","10",,,,"194149",23317.240159425,651.834154432767,"85",Farmlands,2.3347418179505,0.0787755465427279,Low,"2",A,Farmlands_A_2_Low,C,Farmlands_C_2_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_Low_C_Wild spaces_false,Community Supported Agriculture,57.5452,99.94,"7",1.080,0.033195,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"77",Cultures et prairies intensives,"10","5","10",,,,"200957",10998.48695759,816.84200705498,"114",Farmlands,1.09964585754396,0.0371026906553267,High,"2",A,Farmlands_A_2_High,C,Farmlands_C_2_High,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_High_C_Wild spaces_false,Community Supported Agriculture,57.8,89.88,"7",1.122,0.089428,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"82",Cultures et prairies intensives,"10","5","10",,,,"199950",30092.35055062,968.866074589808,"134",Farmlands,3.00868879923169,0.101514909577674,Low,"3",A,Farmlands_A_3_Low,C,Farmlands_C_3_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_3_Low_C_Wild spaces_false,Community Supported Agriculture,57.7068,98.37,"21",1.375,0.050672,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"94",Cultures et prairies intensives,"10","5","10",,,,"200231",10057.3872978,430.879734156955,"189",Farmlands,1.00555649114794,0.0339280607220641,Low,"3",A,Farmlands_A_3_Low,C,Farmlands_C_3_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_3_Low_C_Wild spaces_false,Community Supported Agriculture,58.6574,99.89,"25",1.534,0.047730,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"98",Cultures et prairies intensives,"10","5","10",,,,"200235",3677.896904945,522.965229841079,"193",Farmlands,0.367723261210512,0.012407196656871,Low,"3",A,Farmlands_A_3_Low,C,Farmlands_C_3_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_3_Low_C_Wild spaces_false,Community Supported Agriculture,54.15,90.84,"26",1.579,0.054059,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"109",Cultures et prairies intensives,"10","5","10",,,,"200238",29384.601800775,941.2597407439,"228",Farmlands,2.93792850994167,0.0991274162713541,Low,"2",A,Farmlands_A_2_Low,C,Farmlands_C_2_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_Low_C_Wild spaces_false,Community Supported Agriculture,58.4166,99.93,"17",1.287,0.063273,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"121",Cultures et prairies intensives,"10","5","10",,,,"200242",734.052297175,382.850839580466,"269",Farmlands,0.0733919622884881,0.00247628748355314,High,"2",A,Farmlands_A_2_High,C,Farmlands_C_2_High,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_High_C_Wild spaces_false,Community Supported Agriculture,55.2192,86.28,"15",1.339,0.070497,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"136",Verger,"20","5","10",,,,"200484",598.683508085,99.8862795349221,"336",Farmlands,0.0598574236338958,0.0020196242792871,Low,"3",A,Farmlands_A_3_Low,C,Farmlands_C_3_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_3_Low_C_Wild spaces_false,Community Supported Agriculture,53.5166,92.27,"17",1.384,0.041435,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"151",Cultures et prairies intensives,"10","5","10",,,,"200490",5248.68336695,289.905654888631,"408",Farmlands,0.524773261632261,0.0177061549924951,Low,"3",A,Farmlands_A_3_Low,C,Farmlands_C_3_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_3_Low_C_Wild spaces_false,Community Supported Agriculture,57.5476,99.22,"25",1.550,0.049357,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"154",Cultures et prairies intensives,"10","5","10",,,,"200283",9399.924371635,519.42904163235,"441",Farmlands,0.93982272279702,0.0317101651550491,High,"2",A,Farmlands_A_2_High,C,Farmlands_C_2_High,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_High_C_Wild spaces_false,Community Supported Agriculture,58.6968,99.98,"14",1.286,0.073679,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"156",Prairies extensives,"5","3","9",,,,"200492",14196.216257105,748.723491542262,"446",Farmlands,1.4193652436442,0.047890208652696,Low,"3",A,Farmlands_A_3_Low,C,Farmlands_C_3_Low,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_3_Low_C_Wild spaces_false,Community Supported Agriculture,60.4646,99.08,"26",1.543,0.052453,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"158",Cultures et prairies intensives,"10","5","10",,,,"200496",6243.43851785,549.883940137167,"450",Farmlands,0.624230863442337,0.021061912310148,High,"3",B,Farmlands_B_3_High,C,Farmlands_C_3_High,Allotment gardens,Farmlands_Urban Gardens_C,Farmlands_3_High_C_Urban Gardens_false,Allotment gardens,64,100,"22",1.479,0.083202,Allotment gardens,Urban Gardens,false,Allotment gardens
"166",Cultures et prairies intensives,"10","5","10",,,,"200289",10879.89381697,637.861466212494,"500",Farmlands,1.08779300205711,0.0367027684190048,High,"2",A,Farmlands_A_2_High,C,Farmlands_C_2_High,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_High_C_Wild spaces_false,Community Supported Agriculture,55.4306,95.57,"12",1.236,0.087675,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"168",Cultures et prairies intensives,"10","5","10",,,,"200291",6222.28969818,388.646793486129,"502",Farmlands,0.622117151030824,0.0209905944243026,High,"2",A,Farmlands_A_2_High,C,Farmlands_C_2_High,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_High_C_Wild spaces_false,Community Supported Agriculture,57.6342,99.03,"9",1.184,0.109240,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"176",Cultures et prairies intensives,"10","5","10",,,,"199661",1094.204354815,141.739375780182,"522",Farmlands,0.109400490616821,0.00369123616758097,High,"2",B,Farmlands_B_2_High,C,Farmlands_C_2_High,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_High_C_Wild spaces_false,Community Supported Agriculture,64.1224,98.07,"8",1.178,0.158180,Community Supported Agriculture,Wild spaces,false,Community Supported Agriculture
"177",Cultures et prairies intensives,"10","5","10",,,,"200042",38443.95312265,1095.6588145749,"535",Farmlands,3.84370399838125,0.129688807941406,High,"2",A,Farmlands_A_2_High,C,Farmlands_C_2_High,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_High_C_Wild spaces_false,Community Supported Agriculture,53.574,91.89,"14",1.188,0.081430,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"178",Cultures et prairies intensives,"10","5","10",,,,"200293",4927.91159717,328.31878817597,"546",Farmlands,0.492702780296866,0.0166240783039035,High,"2",A,Farmlands_A_2_High,C,Farmlands_C_2_High,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_High_C_Wild spaces_false,Community Supported Agriculture,55.2692,94.73,"9",1.188,0.137123,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
"186",Cultures et prairies intensives,"10","5","10",,,,"199913",36602.69941023,805.701566107408,"585",Farmlands,3.65960334392189,0.123477144809146,Low,"2",A,Farmlands_A_2_Low,A,Farmlands_A_2_Low,Community Supported Agriculture,Farmlands_Informal Recreational areas_A,Farmlands_2_Low_A_Informal Recreational areas_false,Community Supported Agriculture,35.6624,60.53,"18",1.286,0.044111,Informal Recreational areas,Informal Recreational areas,false,Community Supported Agriculture
"198",Cultures et prairies intensives,"10","5","10",,,,"200669",1880.01782525,189.949416630812,"661",Farmlands,0.187967003429361,0.00634211599471196,High,"2",A,Farmlands_A_2_High,C,Farmlands_C_2_High,Community Supported Agriculture,Farmlands_Wild spaces_C,Farmlands_2_High_C_Wild spaces_false,Community Supported Agriculture,56.8704,88.86,"10",1.221,0.074133,Informal Recreational areas,Wild spaces,false,Community Supported Agriculture
